date,cpu_intel,cpu_amd,gpu_nvidia,gpu_amd,gpu_intel
2014-01-01,73.78,26.21,36.76,13.56,13.33
2014-02-01,74.17,25.82,36.8,13.45,13.21
2014-03-01,73.73,26.27,36.32,13.16,13.49
2014-04-01,73.69,26.31,37.72,12.92,14.62
2014-05-01,73.87,26.13,36.97,12.07,14.5
2014-06-01,73.77,26.23,35.8,12.07,15.2
2014-08-01,74.31,25.68,36.05,11.22,16.31
2014-09-01,74.41,25.59,35.96,10.08,15.98
2014-11-01,74.44,25.55,45.14,23.09,17.66
2015-01-01,74.35,25.64,45.61,22.39,17.88
2015-02-01,74.39,25.61,0,0,4.66
2015-03-01,74.37,25.64,0,0,4.88
2015-04-01,74.98,25.02,0,0,4.69
2015-05-01,74.42,25.58,46.34,22.75,18.1
2015-06-01,75.0,25.0,46.49,22.27,18.4
2015-09-01,75.5,24.5,47.45,21.83,17.76
2015-11-01,76.31,23.69,48.46,20.9,17.05
2016-01-01,75.95,24.05,49.5,20.56,16.52
2016-04-01,76.68,23.32,51.38,19.7,15.92
2016-05-01,76.7,23.29,51.06,20.31,15.72
2016-06-01,77.11,22.87,51.01,19.7,15.87
2016-07-01,77.2,22.78,51.4,19.24,16.47
2016-08-01,77.34,22.64,52.41,18.41,16.3
2016-10-01,78.06,21.93,52.47,17.55,16.62
2016-11-01,78.45,21.54,53.13,16.74,16.19
2016-12-01,78.41,21.57,52.83,17.13,16.53
2017-08-01,81.88,18.05,64.16,13.08,10.98
2017-09-01,83.44,16.52,20.74,0,0
2017-10-01,89.5,10.32,76.27,6.09,6.6
2017-11-01,91.52,8.29,80.21,4.25,5.38
2017-12-01,91.11,8.71,80.11,4.38,5.05
2018-01-01,88.45,11.49,77.61,7.03,5.57
2018-02-01,90.91,9.09,79.73,4.45,4.6
2018-03-01,88.86,11.15,76.69,6.18,5.66
2018-04-01,84.04,15.96,71.03,10.2,8.48
2018-05-01,83.63,16.33,69.76,10.45,9.0
2018-07-01,84.79,15.17,72.14,9.49,8.27
2018-08-01,83.54,16.44,70.28,10.03,9.13
2018-09-01,83.89,16.08,71.39,9.7,8.59
2018-10-01,84.32,15.65,72.05,9.35,8.08
2018-11-01,82.76,17.21,70.21,10.0,9.15
2018-12-01,82.4,17.58,69.6,10.06,9.41
2019-01-01,82.09,17.9,69.39,10.45,9.51
2019-02-01,82.63,17.34,70.41,9.71,8.84
2019-03-01,81.96,18.02,70.11,9.94,9.08
2019-04-01,81.72,18.26,70.52,10.15,8.27
2019-06-01,82.11,17.88,71.67,9.77,7.65
2019-07-01,82.0,17.99,71.04,9.45,8.45
2019-08-01,81.04,18.95,70.57,9.72,8.45
2019-09-01,80.63,19.37,70.81,10.08,8.28
2019-10-01,80.6,19.39,71.09,10.47,8.16
2019-11-01,80.54,19.45,71.87,10.28,7.96
2019-12-01,83.92,16.06,76.35,7.92,6.1
2020-02-01,78.61,21.39,71.09,11.29,7.92
2020-03-01,78.85,21.15,71.04,11.26,8.11
2020-04-01,78.28,21.71,69.91,11.59,8.52
2020-05-01,77.54,22.45,69.42,11.87,8.79
2020-06-01,76.84,23.16,70.35,12.04,8.08
2020-07-01,76.27,23.73,70.39,11.92,7.8
2020-09-01,74.24,25.75,70.52,12.17,7.51
2020-10-01,74.21,25.79,70.39,12.12,7.7
2020-12-01,75.0,25.0,73.96,10.61,6.05
2021-04-01,70.51,29.48,72.73,11.86,5.8
2021-05-01,69.86,30.13,72.24,12.01,6.14
2021-06-01,71.58,28.41,72.74,10.45,6.57
2021-07-01,70.8,29.19,71.39,10.63,7.16
2021-08-01,72.68,27.31,73.55,9.38,6.38
2021-09-01,69.83,30.15,72.92,10.52,6.87
2021-10-01,69.14,30.84,72.01,10.76,6.94
2021-11-01,68.45,31.53,72.37,10.55,6.89
2022-01-01,69.02,30.96,72.27,10.34,6.96
2022-03-01,69.32,30.66,73.89,9.61,6.54
2022-04-01,68.42,31.56,73.0,10.34,6.71
