date,intel,amd
2014-01-01,73.79,26.21
2014-02-01,74.18,25.82
2014-03-01,73.73,26.27
2014-04-01,73.69,26.31
2014-05-01,73.87,26.13
2014-06-01,73.77,26.23
2014-08-01,74.32,25.68
2014-09-01,74.41,25.59
2014-11-01,74.45,25.55
2015-01-01,74.36,25.64
2015-02-01,74.39,25.61
2015-03-01,74.36,25.64
2015-04-01,74.98,25.02
2015-05-01,74.42,25.58
2015-06-01,75.0,25.0
2015-09-01,75.5,24.5
2015-11-01,76.31,23.69
2016-01-01,75.95,24.05
2016-04-01,76.68,23.32
2016-05-01,76.71,23.29
2016-06-01,77.13,22.87
2016-07-01,77.22,22.78
2016-08-01,77.36,22.64
2016-10-01,78.07,21.93
2016-11-01,78.46,21.54
2016-12-01,78.43,21.57
2017-08-01,81.94,18.06
2017-09-01,83.47,16.53
2017-10-01,89.66,10.34
2017-11-01,91.69,8.31
2017-12-01,91.27,8.73
2018-01-01,88.5,11.5
2018-02-01,90.91,9.09
2018-03-01,88.85,11.15
2018-04-01,84.04,15.96
2018-05-01,83.66,16.34
2018-07-01,84.82,15.18
2018-08-01,83.56,16.44
2018-09-01,83.92,16.08
2018-10-01,84.35,15.65
2018-11-01,82.78,17.22
2018-12-01,82.42,17.58
2019-01-01,82.1,17.9
2019-02-01,82.65,17.35
2019-03-01,81.98,18.02
2019-04-01,81.74,18.26
2019-06-01,82.12,17.88
2019-07-01,82.01,17.99
2019-08-01,81.05,18.95
2019-09-01,80.63,19.37
2019-10-01,80.61,19.39
2019-11-01,80.55,19.45
2019-12-01,83.94,16.06
2020-02-01,78.61,21.39
2020-03-01,78.85,21.15
2020-04-01,78.29,21.71
2020-05-01,77.55,22.45
2020-06-01,76.84,23.16
2020-07-01,76.27,23.73
2020-09-01,74.25,25.75
2020-10-01,74.21,25.79
2020-12-01,75.0,25.0
2021-04-01,70.52,29.48
2021-05-01,69.87,30.13
2021-06-01,71.59,28.41
2021-07-01,70.81,29.19
2021-08-01,72.69,27.31
2021-09-01,69.84,30.16
2021-10-01,69.15,30.85
2021-11-01,68.46,31.54
2022-01-01,69.03,30.97
2022-03-01,69.33,30.67
2022-04-01,68.43,31.57
2022-05-01,67.2,32.8
2022-06-01,68.48,31.52
2022-07-01,66.27,33.73
2022-08-01,67.93,32.07
2022-09-01,68.75,31.25
2022-10-01,71.0,29.0
2022-11-01,67.12,32.88
2022-12-01,67.83,32.17
2023-01-01,67.15,32.85
2023-02-01,67.19,32.81
2023-03-01,76.2,23.8
2023-05-01,67.53,32.47
2023-06-01,67.96,32.04
2023-07-01,66.79,33.21
2023-08-01,66.55,33.45
2023-09-01,68.8,31.2
2023-10-01,74.41,25.59
2023-11-01,66.11,33.89
2023-12-01,66.32,33.68
2024-01-01,65.73,34.27
2024-02-01,67.94,32.06
2024-03-01,68.77,31.23
2024-04-01,66.53,33.47
2024-05-01,65.83,34.17
2024-06-01,66.83,33.17
2024-07-01,67.44,32.56
2024-08-01,66.72,33.28
2024-09-01,67.41,32.59
2024-10-01,64.09,35.91
2024-11-01,64.27,35.73
2024-12-01,63.45,36.55
2025-01-01,63.79,36.21
2025-02-01,68.92,31.08
2025-03-01,62.35,37.65
2025-04-01,61.29,38.71
2025-05-01,60.49,39.51
2025-06-01,60.32,39.68
2025-07-01,59.57,40.43
2025-08-01,59.81,40.19
2025-09-01,58.66,41.34
2025-10-01,57.87,42.13
2025-11-01,57.35,42.65
2025-12-01,56.44,43.56
2026-01-01,56.65,43.35
2026-02-01,56.24,43.76
2026-03-01,55.83,44.17
2026-04-01,55.82,44.18
